SeriesName,CountryName,CountryCode,ContinentName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
High-technology exports (% of manufactured exports),Iraq,IRQ,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Ireland,IRL,Europe,..,..,..,..,..,..,..,30.77473899,28.86986019,26.48791557,22.91752332,24.91812668,25.6204253,24.98408574,24.9275132,28.35438307
High-technology exports (% of manufactured exports),Isle of Man,IMN,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Israel,ISR,Asia,..,..,..,..,..,..,..,7.626273484,17.06157585,23.3968275,19.37617209,18.3995425,19.89187058,19.03549644,19.41371306,22.89572703
High-technology exports (% of manufactured exports),Italy,ITA,Europe,..,..,..,..,..,..,..,7.187792634,7.301027576,8.394137082,8.139714843,8.065329249,7.671225862,7.90617846,7.820628028,8.265535563
High-technology exports (% of manufactured exports),Jamaica,JAM,North America,..,..,..,..,..,..,..,..,2.951906169,1.948444992,2.970409844,7.331939997,2.079426804,3.566952552,4.572056343,1.036084958
High-technology exports (% of manufactured exports),Japan,JPN,Asia,..,..,..,..,..,..,..,20.083357,18.84564935,20.54611337,19.13795902,18.40883774,18.27989673,17.80868069,17.79096365,18.07168447
High-technology exports (% of manufactured exports),Jordan,JOR,Asia,..,..,..,..,..,..,..,1.133535156,0.917231145,1.413917336,2.862053244,2.550583978,2.367792919,1.679557613,1.80671198,2.577043113
High-technology exports (% of manufactured exports),Kazakhstan,KAZ,Asia,..,..,..,..,..,..,..,..,..,31.68688717,35.35914604,25.6819741,31.0130054,38.55300499,39.28864948,43.44494839
High-technology exports (% of manufactured exports),Kenya,KEN,Africa,..,..,..,..,..,..,..,..,4.694291356,6.062373102,6.716967001,..,..,4.068780736,..,4.365945901
High-technology exports (% of manufactured exports),Kiribati,KIR,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.759484638,1.382543247
High-technology exports (% of manufactured exports),"Korea, Dem. People’s Rep.",PRK,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),"Korea, Rep.",KOR,Asia,..,..,..,..,..,..,..,32.22768451,30.33420827,32.06482384,32.07527106,28.18299356,28.2250179,29.81807664,30.0603674,31.22728013
High-technology exports (% of manufactured exports),Kosovo,XKX,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Kuwait,KWT,Asia,..,..,..,..,..,..,..,..,..,..,3.118550863,2.772107903,..,1.659975713,0.13387561,0.127428453
High-technology exports (% of manufactured exports),Kyrgyz Republic,KGZ,Asia,..,..,..,..,..,..,..,..,3.119105541,5.044537606,1.230755469,3.958059749,4.782588717,5.433781031,2.048257665,12.24602006
High-technology exports (% of manufactured exports),Lao PDR,LAO,Asia,..,..,..,..,..,..,..,..,..,..,6.325823486,8.161973359,8.77232289,9.813602163,24.9943425,35.18019606
High-technology exports (% of manufactured exports),Latvia,LVA,Europe,..,..,..,..,..,..,..,7.50352085,7.452714623,8.755891101,8.451890709,9.470801178,11.40636947,15.4219758,17.72703908,18.92450337
High-technology exports (% of manufactured exports),Lebanon,LBN,Asia,..,..,..,..,..,..,..,3.047729609,3.388611011,8.236498901,24.11593587,2.950564941,2.290655258,2.700951336,2.521160938,2.188008533
High-technology exports (% of manufactured exports),Lesotho,LSO,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.212663319
High-technology exports (% of manufactured exports),Liberia,LBR,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Libya,LBY,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Liechtenstein,LIE,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Lithuania,LTU,Europe,..,..,..,..,..,..,..,11.50089448,11.83049038,10.6033404,11.25106392,10.61569361,11.03829888,11.02308516,11.13996319,12.78353834
High-technology exports (% of manufactured exports),Luxembourg,LUX,Europe,..,..,..,..,..,..,..,10.70993361,8.010868708,10.31988504,8.776426552,9.046388991,8.68040788,6.843410364,5.9724979,7.106325883
High-technology exports (% of manufactured exports),"Macao SAR, China",MAC,Asia,..,..,..,..,..,..,..,2.781777505,3.471766495,7.036238353,..,..,..,..,0.163745238,..
High-technology exports (% of manufactured exports),North Macedonia,MKD,Europe,..,..,..,..,..,..,..,0.902080461,1.291531138,3.164569027,3.556675518,4.110183411,4.070492672,3.782498779,3.296017976,3.369131035
High-technology exports (% of manufactured exports),Madagascar,MDG,Africa,..,..,..,..,..,..,..,1.082028332,0.721275582,1.720136328,1.623953545,9.729187777,0.455654597,0.472787127,0.637364472,0.256953832
High-technology exports (% of manufactured exports),Malawi,MWI,Africa,..,..,..,..,..,..,..,..,2.40727263,3.701807164,2.206416545,15.65687989,2.1113888,11.45701603,4.072816594,2.424888902
High-technology exports (% of manufactured exports),Malaysia,MYS,Asia,..,..,..,..,..,..,..,..,..,50.87170719,49.311854,47.22455138,47.50221331,48.47126951,49.22759301,48.48811605
High-technology exports (% of manufactured exports),Maldives,MDV,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Mali,MLI,Africa,..,..,..,..,..,..,..,..,3.209588926,..,4.581292931,4.391430312,2.256469332,..,..,..
High-technology exports (% of manufactured exports),Malta,MLT,Europe,..,..,..,..,..,..,..,53.04066925,50.4457335,48.03183702,47.17772341,47.51594083,46.09225956,38.75162471,34.75993281,30.84408021
High-technology exports (% of manufactured exports),Marshall Islands,MHL,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Mauritania,MRT,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Mauritius,MUS,Africa,..,..,..,..,..,..,..,..,7.475826284,2.007739291,0.693280217,0.800067383,0.929231407,0.575721791,0.029877141,0.114088195
High-technology exports (% of manufactured exports),Mexico,MEX,North America,..,..,..,..,..,..,..,..,20.59007077,22.7121634,22.16713495,21.16782362,21.39471669,20.52990051,20.21722101,19.59355182
High-technology exports (% of manufactured exports),"Micronesia, Fed. Sts.",FSM,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Moldova,MDA,Europe,..,..,..,..,..,..,..,..,..,5.842389499,9.716681854,7.422116404,5.132546774,2.7667288,5.340283432,4.617075953
High-technology exports (% of manufactured exports),Monaco,MCO,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Mongolia,MNG,Asia,..,..,..,..,..,..,..,7.70594784,..,..,..,..,..,16.2910692,19.61596997,..
High-technology exports (% of manufactured exports),Montenegro,MNE,Europe,..,..,..,..,..,..,..,..,9.510440353,24.33153699,10.53982569,17.81111242,10.79138009,7.876589267,14.80259185,13.26316899
High-technology exports (% of manufactured exports),Morocco,MAR,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.703917011
High-technology exports (% of manufactured exports),Mozambique,MOZ,Africa,..,..,..,..,..,..,..,..,..,..,..,..,24.74088768,13.86739731,5.716550982,..
High-technology exports (% of manufactured exports),Myanmar,MMR,Asia,..,..,..,..,..,..,..,..,..,..,0.002681273,0.201949575,1.013571984,0.268343897,0.627031527,0.469787769
High-technology exports (% of manufactured exports),Namibia,NAM,Africa,..,..,..,..,..,..,..,5.422914474,1.142609886,1.631672893,1.969243707,1.825752639,5.367871807,2.792034787,3.64693311,0.439232074
High-technology exports (% of manufactured exports),Nauru,NRU,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Nepal,NPL,Asia,..,..,..,..,..,..,..,..,..,0.428628768,0.686184554,0.415308031,0.136727857,0.321841421,0.719637884,0.635275668
High-technology exports (% of manufactured exports),Netherlands,NLD,Europe,..,..,..,..,..,..,..,29.05965089,26.04180995,28.03612894,27.88421381,25.23511273,25.71161845,26.16286896,25.93856379,24.10412588
High-technology exports (% of manufactured exports),New Caledonia,NCL,Oceania,..,..,..,..,..,..,..,..,0.660733754,8.559208201,0.895989491,15.44593369,10.75819123,14.03023306,13.15387719,5.26729582
High-technology exports (% of manufactured exports),New Zealand,NZL,Oceania,..,..,..,..,..,..,..,10.04213008,9.320599162,9.910354633,9.812778225,10.01324946,10.08864841,10.73902424,9.915461807,10.17231666
High-technology exports (% of manufactured exports),Nicaragua,NIC,North America,..,..,..,..,..,..,..,4.739661513,0.947223752,5.902934562,5.383435505,6.711652811,0.262801732,0.395542695,0.468464212,0.583114218
High-technology exports (% of manufactured exports),Niger,NER,Africa,..,..,..,..,..,..,..,..,..,17.39210839,8.046536185,5.821426333,13.19646582,57.68815982,60.29985291,15.86162384
High-technology exports (% of manufactured exports),Nigeria,NGA,Africa,..,..,..,..,..,..,..,..,..,2.977161375,1.1028981,1.275536163,1.978077378,3.059587189,2.265712058,12.26259782
High-technology exports (% of manufactured exports),Northern Mariana Islands,MNP,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Norway,NOR,Europe,..,..,..,..,..,..,..,17.98035963,18.66944909,19.82107045,20.46978257,21.60056309,21.16410897,21.06368047,22.37551714,22.33312634
High-technology exports (% of manufactured exports),Oman,OMN,Asia,..,..,..,..,..,..,..,..,..,..,..,..,3.393229717,3.443912015,4.36109407,3.243235719
High-technology exports (% of manufactured exports),Pakistan,PAK,Asia,..,..,..,..,..,..,..,..,1.924735018,1.767061423,1.728023545,1.844092524,1.725331234,1.924888898,1.448112842,1.610357677
High-technology exports (% of manufactured exports),Palau,PLW,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.28263822,41.21994309
High-technology exports (% of manufactured exports),Panama,PAN,North America,..,..,..,..,..,..,..,..,1.234267169,1.373899883,0.826045658,36.20956289,12.75313801,14.39693276,6.133474503,6.074324355
High-technology exports (% of manufactured exports),Papua New Guinea,PNG,Oceania,..,..,..,..,..,..,..,..,..,..,..,23.76377845,4.456405985,..,..,..
High-technology exports (% of manufactured exports),Paraguay,PRY,South America,..,..,..,..,..,..,..,6.963560243,9.599998649,12.03393609,8.629719206,10.0073322,8.838164028,8.626709271,6.803182932,6.03842113
High-technology exports (% of manufactured exports),Peru,PER,South America,..,..,..,..,..,..,..,..,2.950094033,3.728640053,6.967140396,6.542262163,3.82556958,4.109467411,4.252188305,5.414344428
High-technology exports (% of manufactured exports),Philippines,PHL,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Poland,POL,Europe,..,..,..,..,..,..,..,3.77680596,5.231002996,7.080921811,7.717129655,6.6196263,7.897692808,8.860413634,10.259811,11.02081018
High-technology exports (% of manufactured exports),Portugal,PRT,Europe,..,..,..,..,..,..,..,8.60303056,8.237526819,4.795556968,4.073176313,4.132772909,4.492890955,4.700111953,4.882511536,5.081193949
High-technology exports (% of manufactured exports),Puerto Rico,PRI,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Qatar,QAT,Asia,..,..,..,..,..,..,..,..,..,0.027080653,..,0.005507629,0.002334602,0.000580959,0.049124708,5.196289125
High-technology exports (% of manufactured exports),Romania,ROU,Europe,..,..,..,..,..,..,..,4.413499622,6.920354862,10.37501619,12.51402187,11.63407355,8.133940793,7.363563013,8.386750327,9.4149683
High-technology exports (% of manufactured exports),Russian Federation,RUS,Europe,..,..,..,..,..,..,..,7.238133301,7.03333404,9.715599939,9.563299463,8.505657796,9.159842813,10.73281474,12.18386152,16.08198979
High-technology exports (% of manufactured exports),Rwanda,RWA,Africa,..,..,..,..,..,..,..,..,..,31.24967038,7.117724511,14.99199732,5.085104054,5.372943224,11.85598974,15.32509501
High-technology exports (% of manufactured exports),Samoa,WSM,Oceania,..,..,..,..,..,..,..,..,..,0.573530825,1.270792386,1.030545546,0.301258665,0.695837344,1.976740084,0.814942122
High-technology exports (% of manufactured exports),San Marino,SMR,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Sao Tome and Principe,STP,Africa,..,..,..,..,..,..,..,..,..,..,..,2.001836969,14.54785828,14.51788571,1.38764213,46.95713857
High-technology exports (% of manufactured exports),Saudi Arabia,SAU,Asia,..,..,..,..,..,..,..,0.696593444,0.778048813,1.095950717,0.750807804,0.590662976,0.661180465,0.712725283,0.590576497,0.787293711
High-technology exports (% of manufactured exports),Senegal,SEN,Africa,..,..,..,..,..,..,..,..,5.810153022,13.63292697,1.862569172,0.895733605,0.862200758,1.480066987,1.824324499,3.749574829
High-technology exports (% of manufactured exports),Serbia,SRB,Europe,..,..,..,..,..,..,..,4.545214644,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Seychelles,SYC,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,10.88018219,5.862670478,8.107838676
High-technology exports (% of manufactured exports),Sierra Leone,SLE,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.008480894,0.006537046
High-technology exports (% of manufactured exports),Singapore,SGP,Asia,..,..,..,..,..,..,..,48.52859221,52.75668997,50.93045884,52.37193121,47.77568771,48.51652374,50.46861735,50.86894859,52.43906167
High-technology exports (% of manufactured exports),Sint Maarten (Dutch part),SXM,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Slovak Republic,SVK,Europe,..,..,..,..,..,..,..,5.392435084,5.085142922,6.356168205,7.354641744,7.523075635,9.577895165,11.02396828,11.14764922,11.15859177
High-technology exports (% of manufactured exports),Slovenia,SVN,Europe,..,..,..,..,..,..,..,5.685398149,6.483709635,6.847766281,6.08031907,6.217701465,6.663193774,6.73855967,6.417225503,7.025375595
High-technology exports (% of manufactured exports),Solomon Islands,SLB,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.799395181
High-technology exports (% of manufactured exports),Somalia,SOM,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),South Africa,ZAF,Africa,..,..,..,..,..,..,..,5.954104058,5.482520236,5.915976686,6.232243437,6.247011598,6.866556116,6.779812146,6.662134571,7.70998137
High-technology exports (% of manufactured exports),South Sudan,SSD,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Spain,ESP,Europe,..,..,..,..,..,..,..,5.600850944,5.763906488,6.71908446,6.803657766,6.852518667,7.391885165,8.110711764,7.502441929,6.888794662
High-technology exports (% of manufactured exports),Sri Lanka,LKA,Asia,..,..,..,..,..,..,..,..,1.877681285,0.979319729,1.130071585,1.035499522,0.950917409,1.039435459,0.954805671,0.891656314
High-technology exports (% of manufactured exports),St. Kitts and Nevis,KNA,North America,..,..,..,..,..,..,..,..,..,0.039078365,1.301051927,0.123501528,35.76767411,35.1205966,27.63543911,25.63017368
High-technology exports (% of manufactured exports),St. Lucia,LCA,North America,..,..,..,..,..,..,..,..,..,..,..,..,8.167351265,8.518445421,6.26898307,4.558693322
High-technology exports (% of manufactured exports),St. Martin (French part),MAF,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),St. Vincent and the Grenadines,VCT,North America,..,..,..,..,..,..,..,..,..,0.819113296,0.155865233,0.026135304,0.050756063,1.397143354,0.711813911,..
High-technology exports (% of manufactured exports),Sudan,SDN,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Suriname,SUR,South America,..,..,..,..,..,..,..,..,..,..,14.22401616,6.935176211,25.08869068,13.99065309,20.57310837,10.81283568
High-technology exports (% of manufactured exports),Eswatini,SWZ,Africa,..,..,..,..,..,..,..,..,0.349978057,0.274186678,0.23130849,0.076379794,0.065735529,0.097260248,0.081342713,0.232643859
High-technology exports (% of manufactured exports),Sweden,SWE,Europe,..,..,..,..,..,..,..,16.87960968,17.35715,18.8582209,19.68053311,18.78196492,18.03589271,18.03461474,17.99873414,18.12499451
High-technology exports (% of manufactured exports),Switzerland,CHE,Europe,..,..,..,..,..,..,..,23.86086503,24.88606281,26.67118879,25.82741866,25.28558024,26.29905418,26.98907144,26.88887616,27.27706166
High-technology exports (% of manufactured exports),Syrian Arab Republic,SYR,Asia,..,..,..,..,..,..,..,..,1.881492192,1.572221094,1.507287506,..,..,..,..,..
High-technology exports (% of manufactured exports),Tajikistan,TJK,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Tanzania,TZA,Africa,..,..,..,..,..,..,..,..,2.23014988,3.482623806,3.866558456,5.902994821,11.34277516,6.714585786,3.384020409,0.853175014
High-technology exports (% of manufactured exports),Thailand,THA,Asia,..,..,..,..,..,..,..,27.89899842,26.34128517,27.5067049,26.29237293,22.71110277,22.84198202,22.14121394,22.68617529,23.94521256
High-technology exports (% of manufactured exports),Timor-Leste,TLS,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Togo,TGO,Africa,..,..,..,..,..,..,..,..,0.098661721,0.076542176,0.310299595,0.745268243,0.171441645,0.220281691,0.154375376,0.430004083
High-technology exports (% of manufactured exports),Tonga,TON,Oceania,..,..,..,..,..,..,..,..,..,1.09134111,0.038762918,0.07884325,6.630684691,5.973503093,2.696506088,..
High-technology exports (% of manufactured exports),Trinidad and Tobago,TTO,North America,..,..,..,..,..,..,..,1.604635611,0.774398407,0.259351813,0.100525673,0.123158048,0.762964138,0.181789479,0.136127589,0.137844786
High-technology exports (% of manufactured exports),Tunisia,TUN,Africa,..,..,..,..,..,..,..,..,5.606503597,6.85508417,8.006293808,8.326128465,7.057662263,6.458873599,6.765407908,7.785447378
High-technology exports (% of manufactured exports),Turkey,TUR,Asia,..,..,..,..,..,..,..,2.172191965,1.857103725,2.023809682,2.200943062,2.115045777,2.164143057,2.290831878,2.331888286,2.58002034
High-technology exports (% of manufactured exports),Turkmenistan,TKM,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Turks and Caicos Islands,TCA,North America,..,..,..,..,..,..,..,..,..,..,..,2.100620439,2.19852999,..,..,..
High-technology exports (% of manufactured exports),Tuvalu,TUV,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Uganda,UGA,Africa,..,..,..,..,..,..,..,..,1.48889549,1.305182037,2.570754844,22.55284519,21.88364964,2.107997372,2.678430137,2.297024304
High-technology exports (% of manufactured exports),Ukraine,UKR,Europe,..,..,..,..,..,..,..,..,..,..,..,5.069675872,7.033270678,6.853414779,7.691961601,8.7462997
High-technology exports (% of manufactured exports),United Arab Emirates,ARE,Asia,..,..,..,..,..,..,..,..,3.362965668,..,..,..,3.766661334,3.60713495,10.35817374,5.311027422
High-technology exports (% of manufactured exports),United Kingdom,GBR,Europe,..,..,..,..,..,..,..,21.10294332,20.82902863,20.78694455,23.53732676,23.57803804,23.78812206,23.85748713,22.44936882,22.63422287
High-technology exports (% of manufactured exports),United States,USA,North America,..,..,..,..,..,..,..,30.37322923,28.85784981,24.86777418,23.001461,20.98457948,20.55940432,20.52684609,20.86079735,21.75986712
High-technology exports (% of manufactured exports),Uruguay,URY,South America,..,..,..,..,..,..,..,3.678288222,5.328904091,6.360343323,7.260326909,6.697487371,9.903988677,9.228398711,8.553454711,14.74248759
High-technology exports (% of manufactured exports),Uzbekistan,UZB,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Vanuatu,VUT,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),"Venezuela, RB",VEN,South America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),Vietnam,VNM,Asia,..,..,..,..,..,..,..,..,8.829579032,10.52367722,13.12845176,18.81052406,27.16079684,33.59562197,32.05589553,36.36841281
High-technology exports (% of manufactured exports),Virgin Islands (U.S.),VIR,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (% of manufactured exports),West Bank and Gaza,PSE,Asia,..,..,..,..,..,..,..,0.068595177,0.185536046,0.13035021,0.355480921,0.208594532,0.316657811,0.094799442,0.234222699,0.961927863
High-technology exports (% of manufactured exports),"Yemen, Rep.",YEM,Asia,..,..,..,..,..,..,..,..,..,0.579934003,0.573097079,0.665766124,0.673180158,3.301955175,1.450963852,8.016892182
High-technology exports (% of manufactured exports),Zambia,ZMB,Africa,..,..,..,..,..,..,..,..,1.437535833,1.456437465,0.756216108,1.735641026,3.97659305,2.248590388,1.69861411,6.786930823
High-technology exports (% of manufactured exports),Zimbabwe,ZWE,Africa,..,..,..,..,..,..,..,..,14.36418329,3.344007214,1.950834496,2.781006402,6.219150052,2.952924722,1.464182709,3.28237683
Merchandise trade (% of GDP),Afghanistan,AFG,Asia,..,..,6.29E-05,4.97E-05,4.75E-05,4.60E-05,4.53E-05,3.57E-05,3.52E-05,3.01E-05,3.50E-05,3.87E-05,4.75E-05,4.41E-05,4.05E-05,4.17E-05
Merchandise trade (% of GDP),Albania,ALB,Europe,3.88E-05,4.17E-05,4.24E-05,4.12E-05,4.06E-05,4.07E-05,4.33E-05,4.94E-05,5.13E-05,4.69E-05,4.99E-05,5.69E-05,5.56E-05,5.68E-05,5.78E-05,5.46E-05
Merchandise trade (% of GDP),Algeria,DZA,Africa,5.69E-05,5.31E-05,5.42E-05,5.24E-05,5.80E-05,6.43E-05,6.50E-05,6.51E-05,6.95E-05,6.16E-05,6.05E-05,6.03E-05,5.85E-05,5.72E-05,5.55E-05,5.19E-05
Merchandise trade (% of GDP),American Samoa,ASM,Oceania,..,..,0.000170039,0.000203226,0.000202148,0.00017495,0.000202621,0.000152115,0.000160746,0.000142478,0.000118229,0.000112369,0.000127019,0.000135257,0.000149065,0.000159455
Merchandise trade (% of GDP),Andorra,AND,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.05E-05,4.96E-05
Merchandise trade (% of GDP),Angola,AGO,Africa,0.00012006,0.000108694,7.91E-05,8.41E-05,8.20E-05,8.78E-05,7.76E-05,8.90E-05,9.59E-05,9.03E-05,8.03E-05,7.83E-05,7.40E-05,6.92E-05,6.02E-05,4.64E-05
Merchandise trade (% of GDP),Antigua and Barbuda,ATG,North America,5.55E-05,5.33E-05,5.39E-05,5.45E-05,5.56E-05,5.76E-05,6.03E-05,6.00E-05,5.90E-05,4.76E-05,4.76E-05,4.27E-05,4.63E-05,4.84E-05,5.05E-05,3.85E-05
Merchandise trade (% of GDP),Argentina,ARG,South America,1.81E-05,1.74E-05,3.54E-05,3.40E-05,3.46E-05,3.47E-05,3.47E-05,3.49E-05,3.53E-05,2.84E-05,2.95E-05,2.99E-05,2.71E-05,2.72E-05,2.55E-05,1.97E-05
Merchandise trade (% of GDP),Armenia,ARM,Asia,6.15E-05,5.74E-05,6.28E-05,7.00E-05,5.80E-05,5.66E-05,4.98E-05,4.80E-05,4.70E-05,4.66E-05,5.18E-05,5.40E-05,5.31E-05,5.36E-05,5.10E-05,4.48E-05
Merchandise trade (% of GDP),Aruba,ABW,North America,272.496034,249.7177771,180.5438849,220.1271421,315.1817498,373.4419942,389.297235,395.1142918,417.7126577,176.0965795,69.39471839,435.2191253,135.5036313,61.29443404,58.22627717,54.38191944
Merchandise trade (% of GDP),Australia,AUS,Oceania,3.26E-05,3.36E-05,3.49E-05,3.42E-05,3.20E-05,3.34E-05,3.52E-05,3.60E-05,3.68E-05,3.45E-05,3.61E-05,3.69E-05,3.35E-05,3.14E-05,3.25E-05,2.93E-05
Merchandise trade (% of GDP),Austria,AUT,Europe,7.12E-05,7.37E-05,7.36E-05,7.52E-05,7.92E-05,7.99E-05,8.15E-05,8.40E-05,8.50E-05,7.00E-05,7.95E-05,8.56E-05,8.43E-05,8.33E-05,8.15E-05,8.09E-05
Merchandise trade (% of GDP),Azerbaijan,AZE,Asia,5.53E-05,6.56E-05,6.15E-05,7.17E-05,8.22E-05,9.06E-05,8.71E-05,8.26E-05,7.81E-05,6.23E-05,6.28E-05,6.77E-05,6.18E-05,5.67E-05,4.98E-05,4.86E-05
Merchandise trade (% of GDP),"Bahamas, The",BHS,North America,3.28E-05,2.81E-05,2.45E-05,2.47E-05,2.63E-05,2.91E-05,3.36E-05,3.54E-05,3.95E-05,3.25E-05,3.26E-05,3.77E-05,4.08E-05,3.90E-05,3.76E-05,2.97E-05
Merchandise trade (% of GDP),Bahrain,BHR,Asia,0.000119465,0.000110102,0.000112649,0.000110963,0.000113634,0.000122959,0.000122752,0.00011561,0.000125612,9.58E-05,0.000105903,0.000112522,0.000106012,0.000111495,0.000100276,8.74E-05
Merchandise trade (% of GDP),Bangladesh,BGD,Asia,2.86E-05,2.80E-05,2.69E-05,2.90E-05,3.12E-05,3.34E-05,3.88E-05,3.90E-05,4.28E-05,3.60E-05,4.08E-05,4.72E-05,4.45E-05,4.41E-05,4.14E-05,3.82E-05
Merchandise trade (% of GDP),Barbados,BRB,North America,4.67E-05,4.41E-05,4.12E-05,4.50E-05,4.91E-05,5.14E-05,5.23E-05,4.86E-05,5.03E-05,4.09E-05,4.41E-05,4.90E-05,5.09E-05,4.74E-05,4.71E-05,4.46E-05
Merchandise trade (% of GDP),Belarus,BLR,Europe,0.0001254,0.000127375,0.000117259,0.000120621,0.000130766,0.000108208,0.000113884,0.000116986,0.000118413,9.80E-05,0.000105147,0.000141161,0.000140769,0.00010622,9.74E-05,0.000100881
Merchandise trade (% of GDP),Belgium,BEL,Europe,0.0001549,0.000156004,0.000161161,0.000154565,0.000160767,0.000169385,0.000176109,0.000179134,0.000182085,0.000150305,0.000166102,0.000180355,0.000178376,0.00017645,0.000173168,0.000167126
Merchandise trade (% of GDP),Belize,BLZ,North America,8.65E-05,7.90E-05,8.65E-05,8.69E-05,7.85E-05,8.28E-05,8.92E-05,8.65E-05,9.66E-05,7.97E-05,8.60E-05,9.82E-05,9.77E-05,9.73E-05,9.33E-05,8.87E-05
Merchandise trade (% of GDP),Benin,BEN,Africa,2.86E-05,2.72E-05,2.81E-05,2.68E-05,2.37E-05,2.43E-05,2.79E-05,3.78E-05,3.66E-05,3.39E-05,3.50E-05,3.31E-05,3.39E-05,3.99E-05,4.81E-05,3.73E-05
Merchandise trade (% of GDP),Bermuda,BMU,North America,2.22E-05,2.05E-05,2.04E-05,2.11E-05,2.37E-05,2.12E-05,1.82E-05,1.76E-05,1.69E-05,1.64E-05,1.49E-05,1.45E-05,1.43E-05,1.58E-05,1.53E-05,1.44E-05
Merchandise trade (% of GDP),Bhutan,BTN,Asia,6.55E-05,6.44E-05,5.95E-05,6.32E-05,8.70E-05,8.08E-05,9.53E-05,0.000102798,8.67E-05,8.31E-05,9.66E-05,9.67E-05,8.57E-05,8.27E-05,7.94E-05,8.04E-05
Merchandise trade (% of GDP),Bolivia,BOL,South America,3.64E-05,3.68E-05,3.89E-05,3.98E-05,4.61E-05,5.51E-05,6.00E-05,6.17E-05,6.96E-05,5.48E-05,6.10E-05,6.80E-05,7.32E-05,6.85E-05,6.92E-05,5.60E-05
Merchandise trade (% of GDP),Bosnia and Herzegovina,BIH,Europe,7.58E-05,7.63E-05,7.33E-05,7.34E-05,7.27E-05,8.44E-05,8.29E-05,8.79E-05,9.00E-05,7.23E-05,8.17E-05,9.06E-05,8.81E-05,8.79E-05,9.10E-05,8.69E-05
